Name,Age,Gender,12_percentage,10_percentage,CGPA,Parents_Annual_Income,Is_Car,Is_Loan_Free,Is_Passport,Is_Masters
Anay Patel,22,M,65.27,64.78,7.21,903304.4053992186,Y,Y,Y,N
Shaurya Bhatia,21,M,64.52,61.24,6.03,387158.14972863,Y,N,Y,N
Sai,28,M,68.76,51.21,7.39,2468739.5527178035,Y,N,Y,Y
Anaya Chauhan,29,F,44.51,83.22,7.46,481947.3437514813,N,Y,N,Y
Aaradhya,29,F,98.73,62.91,8.42,7691962.627188888,N,Y,N,Y
Aarush Desai,21,M,80.98,52.9,7.37,1037185.8818330603,N,N,N,N
Atharva,23,M,82.47,43.02,8.11,61879726.91073132,N,N,Y,N
Shanaya Joshi,25,F,77.91,83.46,6.31,443724.0338576668,N,Y,N,N
Sai Reddy,30,M,67.8,43.35,7.25,259678.48847790633,Y,Y,N,N
Yash Gupta,29,M,50.12,96.57,8.81,5836172.841384544,N,N,Y,Y
Ayaan Rao,23,M,84.61,45.61,7.24,1380116.951886384,N,Y,N,N
Pranav,23,M,84.49,44.71,5.67,734172.0974872473,N,N,Y,N
Diya Bhatia,28,F,51.17,87.98,8.9,9670746.071759783,N,Y,Y,Y
Ishaan Patel,21,M,49.7,88.72,6.78,1865799.3167421985,N,N,Y,N
Advik Nair,25,M,47.9,85.09,6.27,8472023.503070448,N,Y,Y,N
Dhruv,28,M,96.12,77.06,8.15,1834301.9905029119,N,Y,Y,Y
Anaisha Choudhury,22,F,74.53,51.51,6.29,363949.05736726837,Y,Y,Y,N
Riddhi Goswami,29,F,63.58,63.49,9.04,4185001.2462944575,N,N,N,Y
Ansh Thakur,25,M,48.45,68.09,8.25,4669689.142539281,N,N,N,Y
Saanvi Singh,26,F,44.73,81.03,6.95,8692786.13447642,Y,Y,Y,Y
Diya Srivastava,22,F,40.87,69.59,7.9,1923076.5958462118,Y,Y,N,N
Reyansh Nair,22,M,76.84,86.56,7.92,761771.199951317,N,Y,Y,Y
Shaurya Choudhury,21,M,89.44,93.59,7.01,3750174.9899049127,N,N,N,Y
Saanvi Thakur,23,F,90.84,56.83,6.76,7265197.069672396,Y,N,Y,Y
Anaya,30,F,73.68,75.98,6.98,1731318.1523982321,N,Y,Y,N
Vanya Goswami,24,F,47.23,78.51,8.4,4959613.792518754,Y,Y,Y,Y
Sahana Agarwal,30,F,91.95,85.58,6.73,1660223.0696954112,N,N,N,N
Rudra Kumar,25,M,94.49,59.3,7.62,2721652.0475689415,Y,N,Y,Y
Trisha Kumar,24,F,51.95,52.33,5.89,1447634.142385183,N,N,Y,N
Shanaya Agarwal,25,F,47.67,45.57,8.2,604145.4745155256,N,Y,N,Y
Avni Pathak,25,F,82.89,67.25,8.14,869294.5502921004,N,N,N,N
Riddhi Choudhury,21,F,74.88,82.25,6.42,1655483.4781912635,Y,Y,N,N
Aarya Bose,30,F,65.33,61.08,6.17,97704643.63101552,N,N,N,Y
Atharva Sharma,26,M,87.01,98.97,8.27,803353.9251222173,Y,N,N,N
Abeer Chauhan,21,M,51.25,80.08,5.76,1019993.8177913358,N,Y,N,N
Kabir Malhotra,22,M,83.39,82.97,9.85,1293695.7147162065,N,Y,Y,Y
Anaya Das,22,F,82.53,97.55,8.77,299090.3779351929,N,N,Y,N
Anay Shah,25,M,66.11,83.1,7.41,700253.0689592236,Y,Y,Y,Y
Chirag Chopra,22,M,40.53,56.71,6.55,7387719.199319708,N,N,Y,Y
Myra Mishra,26,F,64.06,63.3,9.7,1214604.4064635641,Y,N,Y,N
Advik Kumar,21,M,61.08,57.29,6.49,1411691.810099253,Y,N,N,N
Aadhya Chopra,26,F,68.64,56.5,8.02,825763.5765386776,N,Y,N,N
Sai Goswami,25,M,74.61,74.21,9.73,5775851.39343226,Y,N,N,Y
Sahana Singh,30,F,84.27,55.71,6.79,1430063.6507833907,N,N,Y,N
Arjun Das,27,M,91.19,83.06,8.14,889865.9021510249,Y,Y,Y,N
Vani Mishra,21,F,42.31,51.22,7.79,1349560.7603410145,N,Y,N,N
Aarohi Pathak,23,F,62.9,88.22,6.68,607134.6241218939,N,Y,Y,N
Shanaya Srivastava,27,F,97.66,53.82,5.73,1448676.3463149942,Y,Y,N,N
Atharva Goswami,30,M,62.44,47.93,8.99,8476567.039384747,N,Y,N,Y
Saumya Pathak,22,F,50.05,65.74,6.88,2632401.1276021777,N,Y,N,Y
Dev,21,M,91.62,99.13,7.56,8908140.753765568,Y,N,Y,N
Pihu Choudhury,21,F,79.38,60.9,8.99,2783701.5184818464,Y,Y,Y,Y
Mohammed Bhatia,23,M,84.74,87.77,5.8,9158066.02774866,N,Y,Y,Y
Myra Sharma,30,F,90.91,70.86,5.92,400431.9919915934,Y,N,Y,N
Ira Yadav,27,F,60.38,59.16,7.19,816410.3033250532,N,N,Y,N
Navya Chauhan,28,F,94.37,96.23,7.65,558101.3431114407,N,Y,Y,N
Ishika Srivastava,30,F,49.09,89.07,7.36,7268565.582191579,N,Y,Y,Y
Vihaan Joshi,27,M,40.39,84.54,6.12,1922606.6360492145,Y,Y,N,N
Advik Bose,29,M,79.42,84.29,5.88,1939556.1614674546,Y,Y,N,Y
Sara Choudhury,29,F,65.34,57.03,5.6,41018522.10842728,N,Y,N,Y
Pihu Reddy,28,F,82.3,56.96,5.92,1711419.6617916152,N,N,N,N
Trisha Goswami,30,F,89.71,46.78,7.86,484612.07777995366,Y,Y,Y,N
Kiara Gupta,30,F,73.9,50.22,5.86,22922625.87944945,N,N,Y,Y
Aryan Desai,26,M,90.83,91.25,7.63,6866758.663087771,N,Y,Y,Y
Kabir Patel,24,M,51.17,44.64,6.93,799420.1596151706,N,Y,N,N
Myra Shah,25,F,96.46,62.99,9.55,274683.02354690566,N,Y,Y,N
Kian Gupta,24,M,97.35,86.71,7.72,9614814.612938147,Y,Y,N,N
Anaisha,27,F,56.53,71.47,7.59,1454857.777844349,Y,N,Y,N
Abeer Kumar,22,M,40.94,82.09,7.41,8157590.369260559,N,Y,N,Y
Shanaya Yadav,21,F,43.73,94.39,9.31,8991254.82699394,Y,Y,N,N
Reyansh Nair,28,M,69.64,90.53,7.06,7479474.5470478805,Y,Y,Y,N
Sahana Agarwal,28,F,84.6,88.6,6.14,344185.8589419646,N,N,Y,N
Vihaan Pandey,30,M,86.67,61.98,6.76,3763675.071716227,N,N,Y,Y
Ritvik Reddy,21,M,80.77,99.3,6.16,1956515.3431409139,Y,N,Y,N
Ahaan Chopra,24,M,45.94,76.46,6.9,2708984.9243942318,N,N,Y,Y
Pranav Rao,29,M,58.89,49.53,9.44,3453693.3581359955,Y,N,N,Y
Advik,21,M,96.24,57.83,9.05,9877645.212344743,Y,Y,N,Y
Shanaya Chauhan,29,F,99.04,42.87,6.42,1492124.4246596785,Y,Y,Y,N
Abeer Malhotra,28,M,64.7,45.0,9.37,1353706.116184776,N,N,N,N
Veer Verma,30,M,67.04,64.7,5.63,239695.83334281342,Y,N,Y,N
Saumya Thakur,22,F,42.23,88.71,7.94,4678038.076226761,Y,N,Y,Y
Veer,30,M,45.28,82.16,6.61,5731409.091810165,N,Y,N,Y
Riya Malhotra,26,F,49.01,53.3,6.66,1373616.237873891,Y,N,N,N
Diya,29,F,68.08,51.02,8.62,1711448.2661549097,Y,Y,N,Y
Ansh Patel,28,M,93.53,88.81,8.03,6010731.94960608,Y,N,Y,Y
Navya Singh,28,F,78.95,51.79,6.06,2777941.8419252275,Y,N,N,Y
Aadhya Roy,25,F,51.7,58.79,8.43,808547.9492374364,N,N,Y,N
Navya Srivastava,22,F,56.5,54.12,9.23,374333.5170781011,N,N,N,N
Dhruv Bhatia,23,M,93.26,73.18,5.71,1826515.0584349078,N,Y,N,N
Navya Pandey,25,F,50.63,97.99,7.68,1869281.1890663467,N,N,N,N
Mishka Joshi,26,F,63.47,61.98,9.39,9887040.962282915,Y,N,Y,Y
Vihaan,26,M,94.9,93.81,9.27,2533499.4444152093,Y,Y,N,Y
Chirag Verma,22,M,43.32,74.09,6.16,7342066.20233628,Y,Y,Y,N
Mohammed Malhotra,28,M,56.12,92.23,6.18,7353212.837957886,Y,Y,N,Y
Advik Mishra,23,M,87.29,53.94,9.72,5140058.818646587,N,N,Y,Y
Ira Bhatia,28,F,62.34,63.38,7.24,1668971.063546204,N,Y,Y,N
Trisha Pandey,28,F,47.78,83.9,7.55,35998785.64469469,N,N,N,Y
Dhruv Verma,27,M,41.02,52.59,8.56,4059855.481182949,N,N,N,Y
Dev Goswami,21,M,80.28,79.84,6.17,415696.7926961493,N,Y,Y,N
Myra Pathak,30,F,72.86,86.36,7.31,571530.680509669,N,Y,Y,N
Ahaan Sethi,22,M,48.92,55.22,7.39,8961318.18516445,N,Y,Y,Y
Ishika,22,F,92.37,45.33,7.84,1508621.3780988757,N,N,Y,N
Prisha Chauhan,21,F,89.93,56.88,5.7,2517500.6087171063,N,Y,Y,Y
Anika Shah,23,F,77.99,49.12,7.06,4935825.160940548,N,Y,Y,Y
Navya,24,F,40.87,52.73,7.67,4490109.039781789,N,N,Y,Y
Vanya Khan,23,F,86.71,70.2,6.25,3915030.852917014,Y,N,N,Y
Abeer Choudhury,27,M,56.15,92.33,5.76,8529208.097097522,Y,N,Y,Y
Reyansh Pandey,23,M,75.24,63.15,8.64,4400019.0417043865,Y,N,N,Y
Kabir Chopra,23,M,75.88,75.29,7.9,5741488.646739214,N,N,Y,Y
Ira Reddy,24,F,95.14,54.5,8.69,6891968.352668553,Y,N,N,Y
Shaurya,27,M,67.27,72.6,8.66,2104684.2501963954,N,N,Y,Y
Sara Rao,28,F,41.03,86.83,5.95,960758.7582588524,Y,Y,N,N
Shanaya Roy,28,F,87.58,94.15,5.5,8776869.818843957,Y,Y,Y,N
Anaya Malhotra,24,F,68.81,51.45,9.45,8522756.285149317,N,Y,N,Y
Aadi,25,M,66.97,68.84,8.89,7075103.781558205,Y,N,N,Y
Navya Joshi,22,F,44.3,96.85,7.57,1980934.9118314018,Y,N,N,N
Aarav Bhatia,26,M,81.15,66.16,6.25,8999637.750338383,Y,N,Y,N
Sai Agarwal,28,M,47.59,70.77,6.07,1117697.270237388,Y,N,Y,N
Ansh Verma,24,M,79.86,62.14,8.38,7588629.550102258,Y,Y,Y,Y
Ishaan Patel,23,M,54.79,69.99,8.19,4535821.429607344,Y,Y,N,Y
Ishika Reddy,22,F,65.89,73.11,9.36,1113414.486562683,N,N,N,N
Aadi Yadav,22,M,96.28,73.17,8.86,2820077.7752434136,N,Y,N,N
Reyansh Kumar,28,M,60.84,50.22,6.83,8251878.523043632,N,Y,Y,Y
Ishaan Desai,24,M,82.76,99.09,8.32,5107217.285135394,Y,Y,Y,Y
Saanvi Roy,22,F,97.19,69.65,7.14,9761708.171012834,Y,Y,N,Y
Riddhi,30,F,63.74,94.3,9.78,545023.1545482961,Y,Y,Y,N
Krishna,21,M,63.76,90.4,8.5,2608874.483718338,N,Y,Y,Y
Myra,30,F,80.01,73.08,6.78,9625619.498485215,N,N,Y,Y
Ahaan Singh,24,M,91.74,96.74,7.7,7389048.891401484,N,N,Y,Y
Avni Srivastava,29,F,47.59,58.8,6.85,1716732.73898034,Y,N,N,N
Shanaya Verma,24,F,69.22,95.01,9.38,8218606.0491673155,Y,Y,N,N
Riya Kumar,21,F,47.7,69.23,7.96,5365980.63206018,Y,N,N,Y
Anika Sethi,22,F,58.69,97.95,8.67,1869477.8626909247,N,N,N,Y
Myra Chopra,27,F,47.75,78.76,9.36,451826.796230751,N,Y,Y,N
Aadi Mishra,21,M,60.3,40.83,7.59,8922670.232111301,N,Y,Y,N
Mohammed Das,26,M,90.52,72.72,5.71,3398627.919617823,Y,N,Y,N
Prisha Bose,22,F,57.68,75.41,9.67,421440.1521230937,N,Y,Y,N
Navya Roy,26,F,87.1,96.62,6.0,7093339.420135059,N,N,N,Y
Kiara Desai,28,F,48.59,91.69,8.54,1704265.9655044735,Y,N,N,N
Aaradhya Pathak,29,F,87.01,66.87,9.59,820231.3854156989,N,Y,N,Y
Aarush Yadav,24,M,73.54,48.06,8.89,2933710.5955352727,N,Y,Y,Y
Dhruv Verma,24,M,62.75,97.63,7.33,961268.2128488624,Y,N,N,N
Ahaan Das,29,M,66.68,52.2,7.21,1019842.3505724261,Y,Y,N,N
Shaurya Srivastava,30,M,55.85,49.25,8.7,1753002.1801535417,Y,N,Y,N
Ayaan Kumar,27,M,62.63,44.9,5.53,6598899.693169802,N,Y,Y,Y
Riya Goswami,21,F,84.0,95.41,5.6,1908857.0401960562,Y,Y,Y,N
Tara Yadav,27,F,45.62,41.7,9.75,428491.41219322034,N,N,N,N
Ayaan Chopra,24,M,43.5,47.65,8.52,250945.56106567406,Y,Y,N,N
Aadhya Kumar,26,F,84.71,81.95,6.46,514735.3519037216,N,Y,N,N
Aarya,24,F,99.39,75.16,9.16,1718711.2460088416,N,Y,N,N
Aarohi Nair,28,F,66.98,93.25,6.38,1317964.6405120897,N,Y,N,N
Ayaan Srivastava,26,M,68.95,69.68,8.08,1044479.2099329804,N,Y,Y,Y
Ishika Yadav,26,F,60.43,74.02,6.17,1406608.7597618895,N,Y,Y,N
Ahaan Verma,26,M,97.7,72.97,9.4,6187029.747742375,Y,Y,Y,N
Abeer Roy,27,M,42.99,79.14,8.34,2469058.569092969,N,Y,N,Y
Anay,21,M,55.92,48.94,7.2,7433440.582858642,Y,Y,N,Y
Ansh Das,22,M,79.81,63.13,8.67,1420746.8504397753,N,Y,Y,N
Prisha Thakur,25,F,82.72,86.53,9.53,212481.24230880526,Y,Y,Y,N
Saanvi Singh,21,F,69.6,69.4,6.31,899655.6524452141,Y,Y,N,N
Dev Yadav,28,M,97.25,91.98,7.33,461501.1327165718,N,Y,N,N
Vihaan Sethi,21,M,76.26,76.4,8.03,5220087.639620315,Y,N,Y,Y
Ayaan,25,M,84.08,79.12,9.67,385117.95702400303,N,Y,N,N
Trisha,28,F,90.8,84.35,8.94,3868113.796640093,Y,N,N,Y
Dhruv Bhatia,26,M,96.72,42.06,7.97,54033890.156668246,N,N,N,Y
Avni Das,23,F,90.8,89.67,9.59,7091426.980763565,N,Y,N,N
Atharva Das,29,M,40.85,61.03,6.16,3312840.178311739,Y,Y,N,Y
Sahana Pathak,24,F,71.42,97.25,8.72,583553.1904833249,N,N,Y,N
Sahana Verma,25,F,67.27,91.57,6.65,1524027.5199006738,Y,Y,N,N
Kabir,29,M,44.06,83.11,6.67,768946.6376053831,N,Y,Y,N
Saumya Mishra,23,F,64.22,97.19,5.56,5152080.227430304,N,Y,N,Y
Aarush Pandey,29,M,49.6,97.8,5.62,4491494.053690123,N,Y,N,Y
Aryan Chopra,29,M,73.83,95.27,7.1,965242.5497263449,Y,N,Y,N
Arjun,28,M,86.89,56.39,8.21,5859307.8081482705,Y,N,Y,Y
Anay,22,M,61.82,55.4,7.9,928007.6725590602,Y,N,Y,Y
Pranav Agarwal,22,M,92.94,97.77,9.19,1185013.7855376825,Y,N,Y,Y
Kabir Khan,22,M,63.25,90.51,9.65,547979.3568462909,Y,Y,Y,N
Reyansh Sethi,28,M,94.61,75.12,9.55,1379245.5441391948,Y,Y,N,N
Navya Bhatia,23,F,87.44,42.57,6.16,2037422.1200674705,N,Y,N,Y
Aarav,27,M,71.93,57.47,8.98,1975530.5114585587,N,Y,N,N
Ahaan,25,M,67.94,62.86,7.79,8005895.862230541,N,N,Y,Y
Vivaan Sharma,26,M,83.29,95.56,7.66,7068012.037071293,Y,Y,Y,Y
Saanvi Pandey,21,F,95.91,72.9,5.79,776423.8193516603,Y,Y,Y,N
Pranav Malhotra,24,M,83.44,45.49,9.01,1214014.0114217866,Y,Y,N,N
Pranav Goswami,30,M,52.86,53.35,8.88,7502625.222920775,N,Y,Y,Y
Mohammed,29,M,46.94,85.91,5.62,638941.3711552296,Y,N,Y,N
Vivaan,29,M,69.12,44.74,8.81,1264954.9930132811,Y,Y,N,N
Trisha Goswami,30,F,61.77,75.09,9.71,3393163.6538551175,N,Y,Y,Y
Dev,22,M,58.79,65.61,8.5,7227778.186926302,Y,N,Y,N
Tara Thakur,26,F,97.21,75.78,9.27,2259732.590196941,Y,N,N,Y
Anaya Chopra,24,F,81.13,48.34,7.82,437181.6367562384,Y,Y,N,N
Tara Goswami,24,F,83.49,90.03,6.92,3941968.2008890994,N,N,Y,Y
Aryan,24,M,93.55,74.18,8.91,4269532.422510931,Y,N,N,N
Anaisha Srivastava,28,F,42.57,84.21,7.32,696090.7464756148,Y,N,Y,N
Diya Chopra,25,F,76.65,71.26,7.19,1170056.512015096,Y,Y,N,N
Ishaan Bhatia,30,M,88.55,42.6,8.49,8847604.55712354,N,N,Y,Y
Shaurya Roy,28,M,48.44,50.37,6.88,6866459.179663326,N,Y,N,Y
Anaya,26,F,41.14,48.17,6.58,235716.17545645544,Y,Y,N,N
Aadi,27,M,71.33,47.8,7.42,4225403.667076807,Y,Y,Y,Y
Atharva Joshi,22,M,86.95,90.42,7.16,6626861.512763687,N,N,Y,N
Vivaan Bhatia,22,M,85.42,41.95,5.51,73452766.32401326,Y,Y,N,Y
Riya Thakur,23,F,89.48,54.32,7.01,2676093.0049381047,N,N,Y,Y
Myra Thakur,28,F,80.37,70.59,8.04,8777579.131138798,Y,Y,Y,N
Vihaan Verma,24,M,76.88,62.99,6.44,3878787.8443433675,Y,Y,Y,Y
Trisha Malhotra,29,F,51.08,50.8,8.47,3163410.513720141,Y,Y,Y,Y
Ishaan,28,M,98.95,45.0,6.19,2138046.4434324866,Y,Y,Y,Y
Aadi Desai,28,M,76.59,95.23,7.29,2766755.9869492366,N,Y,N,Y
Riddhi Chopra,24,F,68.9,64.79,9.64,418057.08241842303,N,N,Y,N
Aarohi,30,F,53.1,60.64,7.69,1100767.4491366427,N,N,N,N
Shaurya Joshi,21,M,49.43,42.72,7.86,7027826.693753014,N,Y,Y,N
Dev Reddy,21,M,87.69,57.17,6.12,433028.79281172866,Y,N,N,N
Aryan Sharma,27,M,43.67,98.99,8.29,7125675.607819716,Y,Y,N,N
Dhruv Kumar,25,M,70.15,82.21,7.5,306484.1404295798,Y,N,N,N
Ira Rao,27,F,92.36,59.74,6.81,9206391.093524324,N,Y,Y,Y
Ira Joshi,28,F,56.06,62.29,6.68,8166243.819640208,Y,N,Y,Y
Ishika Khan,29,F,80.4,43.89,7.53,8318734.774905719,Y,N,N,Y
Siya,26,F,74.27,84.96,8.3,1635453.0115604983,N,N,N,N
Siya Verma,21,F,76.66,44.93,9.35,759700.7851506978,N,N,Y,N
Ayaan,21,M,45.77,76.61,9.15,8184557.283748463,Y,N,N,Y
Tara,21,F,47.92,67.84,8.2,4920158.32497941,Y,Y,Y,N
Trisha Chauhan,29,F,85.36,83.48,8.2,6928709.416656145,Y,Y,Y,Y
Dev Gupta,23,M,90.82,88.08,6.59,6033740.734800776,N,Y,N,Y
Shanaya,28,F,85.3,42.08,9.27,475193.0032980454,N,Y,Y,N
Anay Kumar,24,M,49.76,72.08,8.27,425499.65123253455,N,N,N,N
Prisha Singh,21,F,59.17,74.62,7.05,521473.82812535414,Y,N,N,N
Sara Mishra,26,F,85.14,45.45,9.41,3129057.178015559,N,Y,Y,N
Pihu Joshi,24,F,41.56,78.63,7.4,318935.18436999957,N,N,N,N
Prisha Reddy,26,F,52.36,59.76,8.69,2342821.013638397,N,N,Y,Y
Myra Singh,29,F,41.15,56.25,5.63,6059463.769704604,Y,Y,N,Y
Sahana Pandey,23,F,80.05,40.21,8.14,7521960.651580522,Y,Y,Y,Y
Atharva,24,M,55.62,83.2,8.82,1275617.1105669322,N,Y,N,Y
Sai Srivastava,29,M,81.93,43.05,6.53,1156859.791454357,N,Y,N,N
Navya,24,F,66.98,46.72,9.8,279951.3788303757,Y,Y,Y,N
Tara Sethi,25,F,41.45,51.37,9.26,5324305.796409801,N,N,Y,Y
Aanya Chauhan,22,F,97.59,70.5,8.42,1650884.638093225,N,Y,N,N
Advik,23,M,64.0,57.91,6.67,7814229.059700249,Y,N,N,Y
Yash Khan,28,M,55.4,61.74,7.41,8776164.886174083,N,Y,N,Y
Ahaan,23,M,93.33,64.03,6.41,4949274.263520358,Y,N,N,Y
Anika Pathak,25,F,80.28,64.05,5.96,909369.1998859511,N,Y,N,N
Shaurya Desai,25,M,77.0,70.21,6.62,1719518.9648247915,N,Y,N,N
Mishka Goswami,24,F,90.66,48.52,7.92,636703.5831152303,Y,Y,N,N
Aadi Sethi,29,M,66.52,56.09,5.64,1021635.9372994705,N,N,N,N
Anaya Gupta,27,F,42.37,87.96,6.46,1650276.8815839218,Y,N,N,N
Riya Roy,25,F,80.67,44.62,8.2,308750.9373876121,Y,N,Y,N
Atharva Sethi,21,M,51.81,41.86,8.57,9648844.710766926,Y,Y,N,N
Avni,28,F,55.67,89.31,8.39,241739.58531609867,Y,Y,N,N
Riya Das,22,F,71.8,85.05,8.62,9790155.019373683,N,N,N,Y
Shaurya Chopra,27,M,46.58,53.84,6.12,486132.4351125119,N,N,N,N
Veer Bhatia,21,M,43.26,73.03,8.51,430018.7096251914,Y,Y,N,N
Advik,26,M,68.16,76.16,7.34,1967863.3719548332,Y,N,Y,N
Ishika,30,F,83.81,90.77,9.72,3916829.1019337033,Y,N,Y,N
Ishaan Goswami,24,M,55.85,61.51,9.46,1557619.6268965113,Y,Y,Y,N
Advik,27,M,63.74,81.23,5.71,1031242.9389507917,N,Y,Y,Y
Advik Patel,24,M,99.45,57.3,9.41,494099.4705276777,Y,N,N,N
Ira Choudhury,22,F,60.7,98.32,9.43,8835031.818276787,Y,Y,Y,Y
Riddhi Kumar,23,F,62.35,73.49,6.41,9981200.768396927,N,Y,N,Y
Saanvi Bhatia,21,F,46.8,88.81,6.76,9643113.325856965,Y,N,Y,Y
Aarya Thakur,22,F,90.08,98.81,6.01,4170447.843774515,N,N,Y,Y
Ishaan Gupta,29,M,44.8,47.15,5.57,603962.4662740414,Y,N,Y,N
Trisha Mishra,22,F,43.71,70.85,9.35,3476142.553640249,Y,Y,Y,N
Anaya Srivastava,21,F,48.66,93.24,8.54,1759431.484611412,N,N,Y,N
Vivaan Nair,21,M,60.08,47.33,8.65,1888066.3025174611,Y,Y,N,N
Aanya,30,F,47.5,89.92,8.25,1464730.1701523163,N,N,Y,N
Ira Das,24,F,89.31,56.9,6.36,8686560.60658218,Y,Y,N,Y
Arjun Chauhan,26,M,53.64,60.05,6.89,3858317.6239682357,N,N,N,Y
Anaya,27,F,51.2,49.63,8.36,3783972.000749425,N,N,N,Y
Ira Khan,24,F,81.22,96.42,7.13,9644686.50417874,N,Y,Y,N
Riddhi Sharma,29,F,48.97,53.58,8.75,583564.2063440641,N,N,N,N
Aadhya Khan,29,F,55.6,74.9,9.28,4635133.311056925,N,N,Y,Y
Aaradhya Verma,21,F,89.46,52.03,7.25,7001682.918551466,N,N,N,Y
Riddhi,21,F,53.67,78.17,6.55,711940.5399141584,N,N,Y,N
Riya Khan,23,F,81.21,69.18,5.57,1331090.3988992602,Y,N,Y,N
Anaisha Khan,29,F,44.57,56.45,8.19,922430.4704758847,Y,Y,Y,N
Ritvik Agarwal,26,M,83.58,60.93,8.34,647514.50418567,Y,Y,N,N
Mishka Khan,22,F,59.68,93.38,8.26,1592401.5858875702,N,N,Y,N
Aanya,27,F,79.61,43.21,7.2,296219.68223940494,Y,N,N,N
Sahana Desai,27,F,80.26,44.18,5.99,1820747.0002502117,Y,N,Y,N
Ira Chauhan,25,F,84.58,79.27,8.01,388689.713806373,Y,Y,N,N
Ira Choudhury,23,F,98.89,50.19,9.41,3081783.76642287,Y,Y,Y,Y
Aadi Goswami,25,M,69.43,43.89,6.71,521640.41467431816,Y,Y,N,N
Anaya Mishra,27,F,50.74,48.18,7.42,1313986.1198881369,N,N,Y,N
Vihaan,27,M,98.13,54.96,9.1,4907371.911915756,N,Y,Y,N
Advik Kumar,25,M,80.54,85.66,9.33,7257457.763214522,Y,N,N,Y
Riya Khan,23,F,94.7,73.86,5.76,808722.1834708712,N,Y,Y,N
Vihaan Kumar,26,M,40.38,53.37,7.05,1592989.4475487813,Y,N,Y,N
